need_name,need_id,start_date,start_time,duration,slots
Adult Scrimmages - Non-Skating Officials,628861,2024-08-07,18:00,60,20
Adult Scrimmages - Skating Officials,607934,2024-08-07,18:00,60,20
Adult Scrimmages - Non-Skating Officials,628861,2024-08-07,19:00,120,20
Adult Scrimmages - Skating Officials,607934,2024-08-07,19:00,120,20
Adult Scrimmages - Non-Skating Officials,628861,2024-08-10,10:00,60,20
Adult Scrimmages - Skating Officials,607934,2024-08-10,10:00,60,20
Adult Scrimmages - Non-Skating Officials,628861,2024-08-10,11:00,60,20
Adult Scrimmages - Skating Officials,607934,2024-08-10,11:00,60,20
Officials Practice Coaches,892230,2024-08-10,12:00,90,20
Officials Practice - Skating Officials,773454,2024-08-10,12:00,90,20
Officials Practice Coaches,892230,2024-08-10,13:30,60,20
Junior Officials Practice,868881,2024-08-10,13:30,60,20
Juniors Scrimmages - Non-Skating Officials,628862,2024-08-11,12:00,60,20
Juniors Scrimmages - Skating Officials,607810,2024-08-11,12:00,60,20
Adult Scrimmages - Non-Skating Officials,628861,2024-08-14,18:00,60,20
Adult Scrimmages - Skating Officials,607934,2024-08-14,18:00,60,20
Adult Scrimmages - Non-Skating Officials,628861,2024-08-14,19:00,120,20
Adult Scrimmages - Skating Officials,607934,2024-08-14,19:00,120,20
Adult Scrimmages - Non-Skating Officials,628861,2024-08-17,10:00,60,20
Adult Scrimmages - Skating Officials,607934,2024-08-17,10:00,60,20
Adult Scrimmages - Non-Skating Officials,628861,2024-08-17,11:00,60,20
Adult Scrimmages - Skating Officials,607934,2024-08-17,11:00,60,20
Officials Practice Coaches,892230,2024-08-17,12:00,90,20
Officials Practice - Skating Officials,773454,2024-08-17,12:00,90,20
Officials Practice Coaches,892230,2024-08-17,13:30,60,20
Junior Officials Practice,868881,2024-08-17,13:30,60,20
Juniors Scrimmages - Non-Skating Officials,628862,2024-08-17,14:30,60,20
Juniors Scrimmages - Skating Officials,607810,2024-08-17,14:30,60,20
