need_name,need_id,start_date,start_time,duration,slots
Juniors Scrimmages - Non-Skating Officials,628862,2024-07-10,18:00,60,20
Juniors Scrimmages - Skating Officials,607810,2024-07-10,18:00,60,20
Adult Scrimmages - Non-Skating Officials,628861,2024-07-10,19:00,60,20
Adult Scrimmages - Skating Officials,607934,2024-07-10,19:00,60,20
Adult Scrimmages - Non-Skating Officials,628861,2024-07-13,10:00,60,20
Adult Scrimmages - Skating Officials,607934,2024-07-13,10:00,60,20
Adult Scrimmages - Non-Skating Officials,628861,2024-07-13,11:00,60,20
Adult Scrimmages - Skating Officials,607934,2024-07-13,11:00,60,20
Officials Practice Coaches,892230,2024-07-13,12:00,90,20
Officials Practice - Skating Officials,773454,2024-07-13,12:00,90,20
Officials Practice Coaches,892230,2024-07-13,13:30,60,20
Junior Officials Practice,868881,2024-07-13,13:30,60,20
Juniors Scrimmages - Non-Skating Officials,628862,2024-07-13,14:30,60,20
Juniors Scrimmages - Skating Officials,607810,2024-07-13,14:30,60,20
Juniors Scrimmages - Non-Skating Officials,628862,2024-07-13,15:30,60,20
Juniors Scrimmages - Skating Officials,607810,2024-07-13,15:30,60,20
Adult Scrimmages - Non-Skating Officials,628861,2024-07-17,18:00,60,20
Adult Scrimmages - Skating Officials,607934,2024-07-17,18:00,60,20
Adult Scrimmages - Non-Skating Officials,628861,2024-07-17,19:00,120,20
Adult Scrimmages - Skating Officials,607934,2024-07-17,19:00,120,20
Adult Scrimmages - Non-Skating Officials,628861,2024-07-20,10:00,60,20
Adult Scrimmages - Skating Officials,607934,2024-07-20,10:00,60,20
Adult Scrimmages - Non-Skating Officials,628861,2024-07-20,11:00,60,20
Adult Scrimmages - Skating Officials,607934,2024-07-20,11:00,60,20
Officials Practice Coaches,892230,2024-07-20,12:00,90,20
Officials Practice - Skating Officials,773454,2024-07-20,12:00,90,20
Officials Practice Coaches,892230,2024-07-20,13:30,60,20
Junior Officials Practice,868881,2024-07-20,13:30,60,20
Juniors Scrimmages - Non-Skating Officials,628862,2024-07-20,14:30,60,20
Juniors Scrimmages - Skating Officials,607810,2024-07-20,14:30,60,20
Juniors Scrimmages - Non-Skating Officials,628862,2024-07-20,15:30,60,20
Juniors Scrimmages - Skating Officials,607810,2024-07-20,15:30,60,20
Adult Scrimmages - Non-Skating Officials,628861,2024-07-24,18:00,60,20
Adult Scrimmages - Skating Officials,607934,2024-07-24,18:00,60,20
Adult Scrimmages - Non-Skating Officials,628861,2024-07-24,19:00,120,20
Adult Scrimmages - Skating Officials,607934,2024-07-24,19:00,120,20
Adult Scrimmages - Non-Skating Officials,628861,2024-07-27,10:00,60,20
Adult Scrimmages - Skating Officials,607934,2024-07-27,10:00,60,20
Adult Scrimmages - Non-Skating Officials,628861,2024-07-27,11:00,60,20
Adult Scrimmages - Skating Officials,607934,2024-07-27,11:00,60,20
Officials Practice Coaches,892230,2024-07-27,12:00,90,20
Officials Practice - Skating Officials,773454,2024-07-27,12:00,90,20
Officials Practice Coaches,892230,2024-07-27,13:30,60,20
Junior Officials Practice,868881,2024-07-27,13:30,60,20
Juniors Scrimmages - Non-Skating Officials,628862,2024-07-27,14:30,60,20
Juniors Scrimmages - Skating Officials,607810,2024-07-27,14:30,60,20
Juniors Scrimmages - Non-Skating Officials,628862,2024-07-27,15:30,60,20
Juniors Scrimmages - Skating Officials,607810,2024-07-27,15:30,60,20
Adult Scrimmages - Non-Skating Officials,628861,2024-07-31,18:00,60,20
Adult Scrimmages - Skating Officials,607934,2024-07-31,18:00,60,20
Adult Scrimmages - Non-Skating Officials,628861,2024-07-31,19:00,120,20
Adult Scrimmages - Skating Officials,607934,2024-07-31,19:00,120,20
Adult Scrimmages - Non-Skating Officials,628861,2024-08-03,10:00,60,20
Adult Scrimmages - Skating Officials,607934,2024-08-03,10:00,60,20
Adult Scrimmages - Non-Skating Officials,628861,2024-08-03,11:00,60,20
Adult Scrimmages - Skating Officials,607934,2024-08-03,11:00,60,20
Officials Practice Coaches,892230,2024-08-03,12:00,90,20
Officials Practice - Skating Officials,773454,2024-08-03,12:00,90,20
Officials Practice Coaches,892230,2024-08-03,13:30,60,20
Junior Officials Practice,868881,2024-08-03,13:30,60,20
