need_name,need_id,start_date,start_time,duration,slots
Juniors Scrimmages - Non-Skating Officials,628862,2024-06-05,18:00,60,20
Juniors Scrimmages - Skating Officials,607810,2024-06-05,18:00,60,20
Adult Scrimmages - Non-Skating Officials,628861,2024-06-05,19:00,60,20
Adult Scrimmages - Skating Officials,607934,2024-06-05,19:00,60,20
Adult Scrimmages - Non-Skating Officials,628861,2024-06-05,20:00,60,20
Adult Scrimmages - Skating Officials,607934,2024-06-05,20:00,60,20
Adult Scrimmages - Non-Skating Officials,628861,2024-06-05,21:00,60,20
Adult Scrimmages - Skating Officials,607934,2024-06-05,21:00,60,20
Adult Scrimmages - Non-Skating Officials,628861,2024-06-08,10:00,60,20
Adult Scrimmages - Skating Officials,607934,2024-06-08,10:00,60,20
Adult Scrimmages - Non-Skating Officials,628861,2024-06-08,11:00,60,20
Adult Scrimmages - Skating Officials,607934,2024-06-08,11:00,60,20
Officials Practice Coaches,892230,2024-06-08,12:00,60,20
Officials Practice - Skating Officials,773454,2024-06-08,12:00,60,20
Juniors Scrimmages - Non-Skating Officials,628862,2024-06-08,13:00,60,20
Juniors Scrimmages - Skating Officials,607810,2024-06-08,13:00,60,20
Juniors Scrimmages - Non-Skating Officials,628862,2024-06-08,14:00,60,20
Juniors Scrimmages - Skating Officials,607810,2024-06-08,14:00,60,20
Juniors Scrimmages - Non-Skating Officials,628862,2024-06-12,18:00,60,20
Juniors Scrimmages - Skating Officials,607810,2024-06-12,18:00,60,20
Adult Scrimmages - Non-Skating Officials,628861,2024-06-15,10:00,60,20
Adult Scrimmages - Skating Officials,607934,2024-06-15,10:00,60,20
Adult Scrimmages - Non-Skating Officials,628861,2024-06-15,11:00,60,20
Adult Scrimmages - Skating Officials,607934,2024-06-15,11:00,60,20
Officials Practice Coaches,892230,2024-06-15,12:00,120,20
Officials Practice - Skating Officials,773454,2024-06-15,12:00,120,20
Juniors Scrimmages - Non-Skating Officials,628862,2024-06-15,14:00,60,20
Juniors Scrimmages - Skating Officials,607810,2024-06-15,14:00,60,20
Juniors Scrimmages - Non-Skating Officials,628862,2024-06-15,15:00,60,20
Juniors Scrimmages - Skating Officials,607810,2024-06-15,15:00,60,20
Juniors Scrimmages - Non-Skating Officials,628862,2024-06-19,18:00,60,20
Juniors Scrimmages - Skating Officials,607810,2024-06-19,18:00,60,20
Adult Scrimmages - Non-Skating Officials,628861,2024-06-22,12:15,105,20
Adult Scrimmages - Skating Officials,607934,2024-06-22,12:15,150,20
Officials Practice Coaches,892230,2024-06-22,14:00,120,20
Officials Practice - Skating Officials,773454,2024-06-22,14:00,120,20
Juniors Scrimmages - Non-Skating Officials,628862,2024-06-22,16:00,60,20
Juniors Scrimmages - Skating Officials,607810,2024-06-22,16:00,60,20
Juniors Scrimmages - Non-Skating Officials,628862,2024-06-22,17:00,60,20
Juniors Scrimmages - Skating Officials,607810,2024-06-22,17:00,60,20
Juniors Scrimmages - Non-Skating Officials,628862,2024-06-26,18:00,60,20
Juniors Scrimmages - Skating Officials,607810,2024-06-26,18:00,60,20
Adult Scrimmages - Non-Skating Officials,628861,2024-06-29,13:00,60,20
Adult Scrimmages - Skating Officials,607934,2024-06-29,13:00,60,20
Adult Scrimmages - Non-Skating Officials,628861,2024-06-29,14:00,60,20
Adult Scrimmages - Skating Officials,607934,2024-06-29,14:00,60,20
Officials Practice Coaches,892230,2024-06-29,15:00,60,20
Officials Practice - Skating Officials,773454,2024-06-29,15:00,60,20
Juniors Scrimmages - Non-Skating Officials,628862,2024-06-29,16:00,60,20
Juniors Scrimmages - Skating Officials,607810,2024-06-29,16:00,60,20
Juniors Scrimmages - Non-Skating Officials,628862,2024-06-29,17:00,60,20
Juniors Scrimmages - Skating Officials,607810,2024-06-29,17:00,60,20
Juniors Scrimmages - Non-Skating Officials,628862,2024-07-03,18:00,60,20
Juniors Scrimmages - Skating Officials,607810,2024-07-03,18:00,60,20
Adult Scrimmages - Non-Skating Officials,628861,2024-07-03,19:00,120,20
Adult Scrimmages - Skating Officials,607934,2024-07-03,19:00,120,20
Adult Scrimmages - Non-Skating Officials,628861,2024-07-06,10:00,60,20
Adult Scrimmages - Skating Officials,607934,2024-07-06,10:00,60,20
Adult Scrimmages - Non-Skating Officials,628861,2024-07-06,11:00,60,20
Adult Scrimmages - Skating Officials,607934,2024-07-06,11:00,60,20
Officials Practice Coaches,892230,2024-07-06,12:00,120,20
Officials Practice - Skating Officials,773454,2024-07-06,12:00,120,20
Juniors Scrimmages - Non-Skating Officials,628862,2024-07-06,14:00,60,20
Juniors Scrimmages - Skating Officials,607810,2024-07-06,14:00,60,20
Juniors Scrimmages - Non-Skating Officials,628862,2024-07-06,15:00,60,20
Juniors Scrimmages - Skating Officials,607810,2024-07-06,15:00,60,20
